country,Region,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,Adults (ages 15-49) newly infected with HIV,Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Arms exports (SIPRI trend indicator values),Arms imports (SIPRI trend indicator values),"Automated teller machines (ATMs) (per 100,000 adults)",Average transaction cost of sending remittances from a specific country (%),Average transaction cost of sending remittances to a specific country (%),Bank capital to assets ratio (%),Bank liquid reserves to bank assets ratio (%),Bank nonperforming loans to total gross loans (%),"Charges for the use of intellectual property, payments (BoP, current US$)","Charges for the use of intellectual property, receipts (BoP, current US$)","Commercial bank branches (per 100,000 adults)","Computer, communications and other services (% of commercial service exports)","Computer, communications and other services (% of commercial service imports)",Consumer price index (2010 = 100),Domestic credit provided by financial sector (% of GDP),Domestic credit to private sector (% of GDP),Domestic credit to private sector by banks (% of GDP),"Employment to population ratio, 15+, female (%) (national estimate)","Employment to population ratio, 15+, male (%) (national estimate)","Employment to population ratio, 15+, total (%) (national estimate)","Employment to population ratio, ages 15-24, female (%) (national estimate)","Employment to population ratio, ages 15-24, male (%) (national estimate)","Employment to population ratio, ages 15-24, total (%) (national estimate)",Final consumption expenditure (% of GDP),Final consumption expenditure (annual % growth),Final consumption expenditure (constant 2010 US$),Final consumption expenditure (constant LCU),Final consumption expenditure (current LCU),Final consumption expenditure (current US$),Fixed broadband subscriptions,Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions,Fixed telephone subscriptions (per 100 people),GDP (constant 2010 US$),GDP growth (annual %),GDP per capita (constant 2010 US$),GNI (constant 2010 US$),GNI growth (annual %),GNI per capita (constant 2010 US$),High-technology exports (current US$),Human capital index (HCI) (scale 0-1),Individuals using the Internet (% of population),"Labor force, total",Military expenditure (% of GDP),Population density (people per sq. km of land area),Population growth (annual %),"Population, female","Population, male","Population, total",Ratio of female to male labor force participation rate (%) (national estimate),"Total reserves (includes gold, current US$)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population,Women Business and the Law Index Score (scale 1-100)
Algeria,NorthernAfrica,1700,1400,60.06772474,10.79325049,49.27447425,,549000000,,,10.519145,,14.57259313,,,,,,,155.0172502,,29.64468328,29.62975114,,,,,,,66.22061177,-3.19923854,1.09299E+11,9.99665E+12,1.21869E+13,96128424128,3790459,8.643942434,4784306,10.91035826,1.91311E+11,-5.480991935,4362.739536,1.87586E+11,-5.201185886,4277.795776,,0.534556448,,12231916,6.659993727,18.41133986,1.836533504,21697235,22153808,43851043,,59434389110,12.83,32332690,57.5
Argentina,SouthAmerica,5600,5000,55.76766101,17.70534915,38.06231185,,7000000,62.45186112,,,15.45270788,,3.860952775,1259953853,214186434.7,13.21,66.67518287,57.56618044,,,,,41.02000046,59.24000168,49.59999847,17.93000031,28.22999954,23.11000061,79.77752266,-11.70964444,3.25697E+11,5.19188E+11,2.15569E+13,3.05601E+11,9571562,21.17800217,7356165,16.27622308,3.94447E+11,-9.905234856,8692.708046,3.83643E+11,-8.546425826,8454.617014,546445776,0.602144718,,19191447,0.761486737,16.58089261,0.970053991,23239321,22137442,45376763,,39403734630,11.67,41796990,76.25
Australia,Oceania,750,1000,55.05194054,25.13866192,29.91327862,396000000,1658000000,129.6922329,7.214873,,7.998032421,4.253643493,1.107782713,3422638070,846361009.2,25.43,32.24393666,51.33594752,120.8116545,,141.9594047,141.9594047,56.39,65.45,60.83000183,57.72,55.85,56.76,73.92630744,-0.524926965,1.07814E+12,1.44306E+12,1.46776E+12,9.83886E+11,8937550,35.04937513,6200000,24.31383609,1.44637E+12,-0.284839298,56307.28068,,,,5709107539,0.770239532,,13452598,2.063042777,3.339440225,1.258698172,12895213,12791828,25687041,85.97944032,43012629265,6.61,22152761,96.875
Austria,WesternEurope,,,50.63910773,28.92873668,21.71037105,9000000,13000000,167.9498095,6.366444,,,,,1562361796,1508260642,7.42,48.87692665,56.34469268,119.6894358,,94.20496405,93.90780935,52.73,62.54,57.51,47.77,52.73,50.25,71.35402295,-6.500543787,2.93467E+11,2.46005E+11,2.67979E+11,3.06084E+11,2606000,28.934986,3786725,42.04483302,4.19186E+11,-6.590410425,47008.71043,,,,15988002803,0.746739745,87.52942813,4572356,0.836613874,108.0611367,0.419000873,4521483,4395722,8917205,84.08644401,30439562425,5.77,5238680,96.875
Bangladesh,SouthernAsia,,,47.01892285,7.684684409,39.33423844,,46000000,10.18424539,,4.570925,4.774469259,10.11380832,7.737548734,67223010.76,4205526.734,8.99,70.89961239,23.95677949,189.9055347,,45.22395094,45.06835283,,,,,,,74.86588187,2.347960516,1.55421E+11,7.71604E+12,2.05605E+13,2.42745E+11,9521970,5.781775259,1450321,0.880640254,2.14962E+11,2.375521656,1305.259332,,,,,0.464036435,,67225702,1.301862862,1265.186932,1.002774181,81430275,83259108,164689383,,43171735336,5.3,62873466,49.375
Belarus,EasternEurope,1300,1100,48.85504719,23.19190865,25.66313853,23000000,13000000,55.85935732,,1.598,14.18582943,11.00892459,4.82924274,200900000,125000000,,53.15730094,47.40634006,536.5426883,45.76825606,33.10863645,26.59707699,,,,,,,68.37067875,-1.444873746,54218052020,57877186300,1.00509E+11,41198967044,3255552,34.45275392,4406585,46.63386996,62765583663,-0.9,6677.998926,59723793650,-2.535654445,6354.365029,801655200,0.700078189,85.08791245,4909766,1.25428103,46.30436989,-0.201820684,5022987,4375874,9398861,,7468343228,5.28,7470497,75.625
Belgium,WesternEurope,,,56.95681092,30.22083568,26.73597524,53000000,86000000,,7.580779,,7.062679621,,2.06995809,3451348529,3792692465,,62.97060183,59.26146951,117.9780019,,76.7302138,74.8670865,46.7,55.14,50.84,22.52,25.57,24.07,74.78357159,-5.837750833,3.79784E+11,3.11458E+11,3.37406E+11,3.85384E+11,4734210,40.84869715,3634639,31.36114954,5.12638E+11,-6.283929951,44361.24836,,,,35086802572,0.760419667,91.52423735,5114000,1.080842257,381.6379458,0.581620792,5828325,5727672,11555997,84.35630022,33296227565,6.01,11334006,100
Brazil,SouthAmerica,48000,,43.47505641,13.76252132,29.71253508,170000000,158000000,96.55508722,9.773196,6.896534,10.05550044,27.30857344,2.242700111,4029140415,634291803.2,17.88,65.85077673,67.06808565,172.7742913,,70.18797033,70.18797006,40.33,59.74,49.44,27.71,40.71,34.3,83.20772102,-5.27954529,1.85487E+12,3.26309E+12,6.19719E+12,1.20213E+12,36344670,17.09859319,30653813,14.42129144,2.26847E+12,-4.059048273,10672.17774,2.22434E+12,-3.32608321,10464.55278,5969585015,0.551497936,,99843130,1.439168226,25.43142481,0.712872791,108123626,104435783,212559409,70.79215223,3.55614E+11,13.67,185081854,85
Canada,NorthernAmerica,,,51.23928687,27.38090851,23.85837836,200000000,207000000,210.2323862,6.267835,,4.948428466,,0.533314765,12704911612,6016672959,20.17,60.89481547,51.94432346,117.5944476,,,,53.93,62.11,57.97,49.61,48.97,49.28,79.89647292,-4.74702659,1.45923E+12,1.64122E+12,1.76097E+12,1.31303E+12,15776602,41.80101115,13926000,36.89773509,1.8477E+12,-5.402798553,48617.08789,1.82648E+12,-5.302770111,48058.63293,26040618938,0.797520101,,20457473,1.415055841,4.239011376,1.089591487,19142488,18862750,38005238,86.7006555,90428136419,9.48,30997832,100
Chile,SouthAmerica,5000,4400,45.94574765,17.86763806,28.07810959,,293000000,49.46726342,7.567058,,6.861189226,18.12563859,1.552989248,1492195473,39645101.86,12.31,43.20980073,43.73746328,135.9309826,147.6911371,124.4679599,88.58040977,39.47,59.17,49.12,16.21,23.03,19.67,74.92878358,-6.81738222,2.00323E+11,1.13879E+14,1.50242E+14,1.89525E+11,3751227,19.62328707,2567938,13.43330717,2.68586E+11,-5.771501669,14050.17618,2.57074E+11,-6.644135891,13447.96617,,0.651604176,,8860151,1.853907407,25.71000172,0.862530028,9690540,9425669,19116209,67.03263649,39166118109,11.51,16770077,80
